Id;Nombre;Provinciaid
1;Cuenca;1
2;Girón;1
3;Gualaceo;1
4;Nabón;1
5;Paute;1
6;Pucara;1
7;San Fernando;1
8;Santa Isabel;1
9;Sigsig;1
10;Oña;1
11;Chordeleg;1
12;El Pan;1
13;Sevilla De Oro;1
14;Guachapala;1
15;Camilo Ponce Enríquez;1
16;Caluma;2
17;Chillanes;2
18;Chimbo;2
19;Echeandía;2
20;Guaranda;2
21;Las Naves;2
22;San Miguel;2
23;Azogues;3
24;Biblián;3
25;Cañar;3
26;Déleg;3
27;El Tambo;3
28;La Troncal;3
29;Suscal;3
30;Bolívar;4
31;Espejo;4
32;Mira;4
33;Montúfar;4
34;San Pedro De Huaca;4
35;Tulcán;4
36;Alausi;5
37;Chambo;5
38;Chunchi;5
39;Colta;5
40;Cumandá;5
41;Guamote;5
42;Guano;5
43;Pallatanga;5
44;Penipe;5
45;Riobamba;5
46;La Maná;6
47;Latacunga;6
48;Pangua;6
49;Pujili;6
50;Salcedo;6
51;Saquisilí;6
52;Sigchos;6
53;Arenillas;7
54;Atahualpa;7
55;Balsas;7
56;Chilla;7
57;El Guabo;7
58;Huaquillas;7
59;Las Lajas;7
60;Machala;7
61;Marcabelí;7
62;Pasaje;7
63;Piñas;7
64;Portovelo;7
65;Santa Rosa;7
66;Zaruma;7
67;Atacames;8
68;Eloy Alfaro;8
69;Esmeraldas;8
70;La Concordia;8
71;Muisne;8
72;Quinindé;8
73;Rioverde;8
74;San Lorenzo;8
75;Isabela;9
76;San Cristóbal;9
77;Santa Cruz;9
78;Balao;10
79;Balzar;10
80;Colimes;10
81;Daule;10
82;Durán;10
83;El Empalme;10
84;El Triunfo;10
85;General Antonio Elizalde;10
86;Guayaquil;10
87;Isidro Ayora;10
88;Lomas De Sargentillo;10
89;Milagro;10
90;Naranjal;10
91;Naranjito;10
92;Nobol;10
93;Oronel Marcelino Maridue;10
94;Palestina;10
95;Pedro Carbo;10
96;Playas;10
97;Salitre;10
98;Samborondón;10
99;San Jacinto De Yaguachi;10
100;Santa Lucía;10
101;Simón Bolívar;10
102;Do Baquerizo Moreno;10
103;Antonio Ante;11
104;Cotacachi;11
105;Ibarra;11
106;Otavalo;11
107;Pimampiro;11
108;San Miguel De Urcuquí;11
109;Calvas;12
110;Catamayo;12
111;Celica;12
112;Chaguarpamba;12
113;Espíndola;12
114;Gonzanamá;12
115;Loja;12
116;Macará;12
117;Olmedo;12
118;Paltas;12
119;Pindal;12
120;Puyango;12
121;Quilanga;12
122;Saraguro;12
123;Sozoranga;12
124;Zapotillo;12
125;Baba;13
126;Babahoyo;13
127;Buena Fé;13
128;Mocache;13
129;Montalvo;13
130;Palenque;13
131;Puebloviejo;13
132;Quevedo;13
133;Quinsaloma;13
134;Urdaneta;13
135;Valencia;13
136;Ventanas;13
137;Vínces;13
138;24 De Mayo;14
139;Bolívar;14
140;Chone;14
141;El Carmen;14
142;Flavio Alfaro;14
143;Jama;14
144;Jaramijó;14
145;Jipijapa;14
146;Junín;14
147;Manta;14
148;Montecristi;14
149;Olmedo;14
150;Paján;14
151;Pedernales;14
152;Pichincha;14
153;Portoviejo;14
154;Puerto López;14
155;Rocafuerte;14
156;San Vicente;14
157;Santa Ana;14
158;Sucre;14
159;Tosagua;14
160;Gualaquiza;15
161;Huamboya;15
162;Limón Indanza;15
163;Logroño;15
164;Morona;15
165;Pablo Sexto;15
166;Palora;15
167;San Juan Bosco;15
168;Santiago;15
169;Sucúa;15
170;Taisha;15
171;Tiwintza;15
172;Archidona;16
173;Arlos Julio Arosemena Tol;16
174;El Chaco;16
175;Quijos;16
176;Tena;16
177;Aguarico;17
178;La Joya De Los Sachas;17
179;Loreto;17
180;Orellana;17
181;Arajuno;18
182;Mera;18
183;Pastaza;18
184;Santa Clara;18
185;Cayambe;19
186;Mejia;19
187;Pedro Moncayo;19
188;Pedro Vicente Maldonado;19
189;Puerto Quito;19
190;Quito;19
191;Rumiñahui;19
192;San Miguel De Los Bancos;19
193;La Libertad;20
194;Salinas;20
195;Santa Elena;20
196;Santo Domingo;21
197;Cascales;22
198;Cuyabeno;22
199;Gonzalo Pizarro;22
200;Lago Agrio;22
201;Putumayo;22
202;Shushufindi;22
203;Sucumbíos;22
204;Ambato;23
205;Baños De Agua Santa;23
206;Cevallos;23
207;Mocha;23
208;Patate;23
209;Quero;23
210;San Pedro De Pelileo;23
211;Santiago De Píllaro;23
212;Tisaleo;23
213;Centinela Del Cóndor;24
214;Chinchipe;24
215;El Pangui;24
216;Nangaritza;24
217;Palanda;24
218;Paquisha;24
219;Yacuambi;24
220;Yantzaza;24
221;Zamora;24
